name,link,desc,chef,prepTime,cooktime,total,ingredients,instructions,rating,num_of_reviews,calories,servings,fat,carb,protein,cholesterol,sodium
Asian Lettuce Wraps,http://allrecipes.com/recipe/71722/asian-lettuce-wraps/,"""Delicious and bursting with flavor, Asian lettuce wraps are a great idea for entertaining or a family style meal. Each person can build their own fresh, delicious wrap. Just be sure to have plates or napkins available since the mixture can sometimes drip a little. To serve, allow each person to spoon a portion of the meat into a lettuce leaf. Wrap the lettuce around the meat like a burrito and enjoy!""",Rachel Castro,20 m,15 m,35 m,"1128, 1129, 1130, 1131, 1132, 1133, 1134, 1135, 1136, 1137, 1138, 1139, 1140","Rinse whole lettuce leaves and pat dry, being careful not tear them. Set aside.
Heat a large skillet over medium-high heat. Cook and stir beef and cooking oil in the hot skillet until browned and crumbly, 5 to 7 minutes. Drain and discard grease; transfer beef to a bowl. Cook and stir onion in the same skillet used for beef until slightly tender, 5 to 10 minutes. Stir hoisin sauce, garlic, soy sauce, vinegar, ginger, and chile pepper sauce into onions. Add water chestnuts, green onions, sesame oil, and cooked beef; cook and stir until the onions just begin to wilt, about 2 minutes.
Arrange lettuce leaves around the outer edge of a large serving platter and pile meat mixture in the center.",4.62740707397461,1580,388 ,4 servings,22.3,24.3,23.4,69,580
Best Egg Rolls,http://allrecipes.com/recipe/14704/best-egg-rolls/,"""These are fabulous as a side dish with stir-fry dishes. Serve warm with egg roll sauce or soy sauce if desired.""",Angela Hamilton
Sausage Stuffed Jalapenos,http://allrecipes.com/recipe/83500/sausage-stuffed-jalapenos/,"""Jalapeno pepper halves are stuffed with cheese and sausage. You will love this spicy appetizer treat!""",MERLOT_58,25 m,20 m,45 m,"1141, 1142, 1143","Preheat oven to 425 degrees F (220 degrees C).
Place sausage in a skillet over medium heat, and cook until evenly brown. Drain grease.
In a bowl, mix the sausage, cream cheese, and Parmesan cheese. Spoon about 1 tablespoon sausage mixture into each jalapeno half. Arrange stuffed halves in baking dishes.
Bake 20 minutes in the preheated oven, until bubbly and lightly browned. Serve with Ranch dressing.",4.78716230392456,655,362 ,12 servings,34.3,4.3,9.2,58,601
Baked Buffalo Wings,http://allrecipes.com/recipe/166638/baked-buffalo-wings/,"""These easy to make hot wings are crispy without being fried. Always yummy to snack on. They only take 10 minutes for prep, but need to be refrigerated for about an hour so the flour coating is firm. You can add more cayenne or use a higher hot sauce to butter ratio if you like them spicier! Enjoy.""",Leesah,15 m,45 m,2 h,"1144, 1145, 1146, 1147, 1148, 1149","Line a baking sheet with aluminum foil, and lightly grease with cooking spray. Place the flour, cayenne pepper, garlic powder, and salt into a resealable plastic bag, and shake to mix. Add the chicken wings, seal, and toss until well coated with the flour mixture. Place the wings onto the prepared baking sheet, and place into the refrigerator. Refrigerate at least 1 hour.
Preheat oven to 400 degrees F (200 degrees C).
Whisk together the melted butter and hot sauce in a small bowl. Dip the wings into the butter mixture, and place back on the baking sheet. Bake in the preheated oven until the chicken is no longer pink in the center, and crispy on the outside, about 45 minutes. Turn the wings over halfway during cooking so they cook evenly.",4.45658922195435,999,125 ,20 servings (20 chicken wings),9.2,3.8,6.8,32,258
Sugar Coated Pecans,http://allrecipes.com/recipe/13838/sugar-coated-pecans/,"""These sweet pecans are wonderful snacks for any occasion.""",Carolyn
Brown Sugar Smokies,http://allrecipes.com/recipe/14939/brown-sugar-smokies/,"""Bacon-wrapped yummies! You can make these little smokies on skewers or toothpick them to secure.""",TINACLINKENBEARD,10 m,20 m,30 m,"1150, 1151, 1152","Preheat oven to 350 degrees F (175 degrees C).
Cut bacon into thirds and wrap each strip around a little sausage. Place the wrapped sausages on wooden skewers, several to a skewer. Arrange the skewers on a baking sheet and sprinkle them liberally with brown sugar.
Bake until bacon is crisp and the brown sugar melted.",4.76065969467163,1755,356 ,12 servings,27.2,18.9,9,49,696
Cocktail Meatballs,http://allrecipes.com/recipe/15206/cocktail-meatballs/,"""These tasty meatballs will disappear quickly from anyone's holiday party. My mom makes them every year for New Years Eve, and now so do I. These do very well in a slow cooker, as you can simmer them before serving, as well as keep them hot for the duration of your party.""",Lara,20 m,1 h 25 m,1 h 45 m,"1153, 1154, 1155, 1156, 1157, 1158, 1159, 1160","Preheat oven to 350 degrees F (175 degrees C).
In a large bowl, mix together the ground beef, egg, water, bread crumbs, and minced onion. Roll into small meatballs.
Bake in preheated oven for 20 to 25 minutes, turning once.
In a slow cooker or large saucepan over low heat, blend the cranberry sauce, chili sauce, brown sugar, and lemon juice. Add meatballs, and simmer for 1 hour before serving.",4.46083211898804,1333,193 ,10 servings,10.2,15.2,9.8,53,85
Bacon Jalapeno Popper Puffs,http://allrecipes.com/recipe/246256/bacon-jalapeno-popper-puffs/,"""If you enjoy the gut-bombs that are classic, bacon-wrapped, jalapeno poppers, I think you'll love these shockingly light puffs. All the same flavors are there, especially when served with the easy cream cheese dip, and the prep is much easier.""",Chef John,15 m,30 m,1 h 15 m,"1161, 1162, 1163, 1164, 1165, 1166, 1167, 1168, 1169, 1170, 1171, 1172, 1173, 1174, 1175, 1176, 1177, 1178","Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned and crisp, about 10 minutes. Drain bacon slices on paper towels. Crumble or finely chop. Drain fat from skillet, reserving 1 tablespoon.
Mix cream cheese, creme fraiche, green onions, and lime juice together in a bowl. If mixture seems too thick, add enough water to thin it to your preferred consistency.
Place skillet over medium-high heat. Add cold water, butter, reserved bacon fat, and salt. Bring mixture to a simmer; reduce heat to medium. Pour in flour all at once. Stir to mix and mash with a wooden spoon until dough starts to pull together, 2 to 3 minutes. Remove pan from heat; transfer dough to a mixing bowl and let cool for about 5 minutes.
When dough is cool, whisk in 1 egg. Mixture will separate slightly. Continue whisking in first egg until mixture pulls back together. Repeat with the second egg. Scrape down sides of bowl. Add diced jalapeno, bacon pieces, shredded cheese, cayenne pepper, and black pepper. Mix thoroughly with a spatula. Wrap dough in plastic wrap and refrigerate until cool, 30 minutes to 1 hour.
Heat oil in deep fryer to 375 degrees F.
Using a small scoop, scoop out rounds of dough. Drop rounds of dough into hot oil and cook until golden brown and cooked through, 3 to 4 minutes. Work in batches if necessary. Transfer to a cooling rack.
serve with dipping sauce garnished with a few green onion slices.",4.75,14,291 ,8 servings (40 puffs),25.1,9.4,7.6,98,488
Mouth-Watering Stuffed Mushrooms,http://allrecipes.com/recipe/15184/mouth-watering-stuffed-mushrooms/,"""These delicious mushrooms taste just like restaurant-style stuffed mushrooms and are my guy's absolute favorite.""",Angie Gorkoff,25 m,20 m,45 m,"1179, 1180, 1181, 1182, 1183, 1184","Preheat oven to 350 degrees F (175 degrees C). Spray a baking sheet with cooking spray. Clean mushrooms with a damp paper towel.  Carefully break off stems.  Chop stems extremely fine, discarding tough end of stems.
Heat oil in a large skillet over medium heat. Add garlic and chopped mushroom stems to the skillet. Fry until any moisture has disappeared, taking care not to burn garlic.  Set aside to cool.
When garlic and mushroom mixture is no longer hot, stir in cream cheese, Parmesan cheese, black pepper, onion powder and cayenne pepper.  Mixture should be very thick. Using a little spoon, fill each mushroom cap with a generous amount of stuffing. Arrange the mushroom caps on prepared cookie sheet.
Bake for 20 minutes in the preheated oven, or until the mushrooms are piping hot and liquid starts to form under caps.",4.60690021514893,2811,88 ,12 servings (12 large mushrooms),8.2,1.5,2.7,22,82
Outrageous Warm Chicken Nacho Dip,http://allrecipes.com/recipe/157940/outrageous-warm-chicken-nacho-dip/,"""This is my jazzed up version of classic queso dip taken to a heartier level, perfect for football games, tailgating or for taking along to pot lucks in a slow cooker! This is a serious crowd-pleaser that is served hot as a dip, spooned over crisp tortilla chips nacho-style, or rolled up in a warm flour tortilla! The heat can be turned up or down with the addition of jalapenos to taste.""",brightlightz,20 m,1 h 15 m,1 h 35 m,"1185, 1186, 1187, 1188, 1189, 1190, 1191, 1192","Place the diced tomatoes, processed cheese, chicken meat, sour cream, green onion, taco seasoning, and jalapeno pepper into a slow cooker. Cook on High, stirring occasionally until the cheese has melted and the dip is hot, 1 to 2 hours. Stir in the black beans, and cook 15 more minutes to reheat.",4.72289133071899,495,232 ,12 servings,13.6,8.7,18.6,60,790
Jalapeno Popper Spread,http://allrecipes.com/recipe/139012/jalapeno-popper-spread/,"""This will definitely be the biggest hit at the party!  This is such an easy appetizer to make and it tastes just like the jalapeno poppers you wish you could make yourself!  The hardest part of this recipe is not eating it all by yourself! Serve with sliced sourdough baguettes, tortilla chips or crackers.""",Denise Millar Ramsey,10 m,3 m,13 m,"1193, 1194","Stir together cream cheese and mayonnaise in a large bowl until smooth. Stir in green chiles and jalapeno peppers. Pour mixture into a microwave safe serving dish, and sprinkle with Parmesan cheese.
Microwave on High until hot, about 3 minutes.",4.74291133880615,2794,110 ,32 servings (4 cups),11.1,1,2.1,20,189
How to Make Perfect Hard Boiled Eggs  ,http://allrecipes.com/recipe/235595/how-to-make-perfect-hard-boiled-eggs/,"""This method makes the most perfect hard-boiled eggs ever. The whites are firm but not rubbery, and the yolks are cooked and still creamy.""",Chef John,5 m,5 m,50 m,1195,"Place eggs into a saucepan and pour in cold water to cover; place over high heat. When the water just starts to simmer, turn off heat, cover pan with a lid, and let stand for 17 minutes. Don't peek.
Pour out the hot water and pour cold water over eggs. Drain and refill with cold water; let stand until eggs are cool, about 20 minutes. Peel eggs under running water.",3.56140351295471,197,72 ,6 servings (6 hard-boiled eggs),5,0.4,6.3,186,70
Artichoke & Spinach Dip Restaurant Style,http://allrecipes.com/recipe/33474/artichoke-spinach-dip-restaurant-style/,"""Tastes very similar to ones served in chain restaurants in our area.  This one uses refrigerated Alfredo sauce as its base to give it a wonderful creamy texture.""",TERRAD,15 m,30 m,1 h 15 m,"1196, 1197, 1198, 1199, 1200, 1201, 1202","Preheat oven to 350 degrees F (175 degrees C).
Place garlic in a small baking dish. Bake in the preheated oven 20 to 30  minutes, until soft. Remove from heat. When cool enough to touch, squeeze softened garlic from skins.
In an 8x8 inch baking dish, spread the roasted garlic, spinach, artichoke hearts, Alfredo-style pasta sauce, mozzarella cheese, Parmesan cheese, and cream cheese.
Bake in the preheated oven 30 minutes, or until cheeses are melted and bubbly. Serve warm.",4.661301612854,2063,153 ,12 servings,12.3,5.2,6.6,28,485
Annie's Fruit Salsa and Cinnamon Chips,http://allrecipes.com/recipe/26692/annies-fruit-salsa-and-cinnamon-chips/,"""Easy to make, tasty fruit salsa and cinnamon tortilla chips. Great as an appetizer or a snack. Great for anytime!""",Ann Page,15 m,10 m,45 m,"1203, 1204, 1205, 1206, 1207, 1208, 1209, 1210, 1211","In a large bowl, thoroughly mix kiwis, Golden Delicious apples, raspberries, strawberries, white sugar, brown sugar and fruit preserves. Cover and chill in the refrigerator at least 15 minutes.
Preheat oven to 350 degrees F (175 degrees C).
Coat one side of each flour tortilla with butter flavored cooking spray. Cut into wedges and arrange in a single layer on a large baking sheet. Sprinkle wedges with desired amount of cinnamon sugar. Spray again with cooking spray.
Bake in the preheated oven 8 to 10 minutes. Repeat with any remaining tortilla wedges. Allow to cool approximately 15 minutes. Serve with chilled fruit mixture.",4.77556133270264,3250,312 ,10 servings,5.9,59,6.8,0,462
Baked Crab and Artichoke Dip,http://allrecipes.com/recipe/231170/baked-crab-and-artichoke-dip/,"""This baked crab and artichoke dip is made and served in a bread bowl that you can eat too!""",Chef John,30 m,30 m,1 h,"1212, 1213, 1214, 1215, 1216, 1217, 1218, 1219, 1220, 1221, 1222, 1223, 1224, 1225","Preheat oven to 375 degrees F (190 degrees C). Line a baking dish with aluminum foil.
Combine cream cheese, crab meat, artichoke bottoms, 6 ounces Cheddar cheese, red bell pepper, green onions, sour cream, mayonnaise, garlic, lemon zest and juice, tarragon, Worcestershire sauce, and cayenne pepper in a large bowl; season with salt and black pepper.
Cut the top 1/3 off the loaf of sourdough bread and discard. Remove the bread filling and discard, leaving just the crust. Place in the prepared baking dish.
Transfer artichoke mixture to the prepared bread bowl; top with 2 tablespoons Cheddar cheese and cayenne pepper.
Bake in the preheated oven until dip is warmed and top is golden brown, about 30 minutes.",4.36842107772827,27,414 ,12 servings,25,27.5,20.9,92,754
