name,link,desc,chef,prepTime,cooktime,total,ingredients,instructions,rating,num_of_reviews,calories,servings,fat,carb,protein,cholesterol,sodium,image
EGG IN BUTTER TOMATO GRAVY,https://www.vahrehvah.com/egg-in-butter-tomato-gravy,"EGG IN BUTTER TOMATO GRAVY : Sometimes, if I have it on hand, I use bacon drippings instead of the butter to give it another layer of taste.tomato gravy and cream and cook for sometime. ... ",Vahchef,10 mins,10 mins,10 mins,"8473, 8474, 8475, 8476, 8477, 8478, 8334, 8360, 8479, 8480, 8481, 8482, 8483, 8479, 8480, 8484, 8485, 8486, 8473, 8474, 8475, 8476, 8477, 8478, 8334, 8360, 8479, 8480, 8481, 8482, 8483, 8479, 8480, 8484, 8485, 8486","Take a pan, add oil, cashew nuts, chopped onion, chopped tomato, red chili powder and mix it well.
Then add ginger garlic paste to it and saute all these for few minutes.
In another pan, add kasoori methi, saute for few minutes and make a powder with hands.
Then take it in a separate plate. Now take cooked tomato in a electric blender, make it fine paste and keep aside.
Take a pan, add butter, kasoori methi powder, turmeric powder, coriander powder, cumin powder, garam masala.
To it even add tomato mixture paste along with some water and salt as per taste. saute it for few minutes.
Add sugar and boiled eggs to the above pan and mix it well. Finally add fresh cream and saute for few more minutes.&nbsp;Serve it with hot rice.
&nbsp;",3.5,8,155.4,2,11,NULL,13,373,124,https://6d1bdf0e0edb084eae10-5bfabe5484726969ac662c6d377e2f3c.ssl.cf2.rackcdn.com/uploads/34932/ca5466092c922aa1c9814cf754f30a01.jpg
SOYA SAUCE FISH CURRY,https://www.vahrehvah.com/soya-sauce-fish-curry,"Soya sauce fish curry is exceptionally full of flavors and tasty to enjoy at any time to prepare with minimum requirements.
",Vahchef,10 mins,15 mins,15 mins,"8363, 8505, 8506, 8507, 8508, 8509, 8334, 8335, 8510, 8511, 8360, 8392, 8512, 8513, 8514, 8515, 8516, 8517, 8443, 8423, 8498, 8497, 8363, 8505, 8506, 8507, 8508, 8509, 8334, 8335, 8510, 8511, 8360, 8392, 8512, 8513, 8514, 8515, 8516, 8517, 8443, 8423, 8498, 8497","Take a pan and add water, chopped brinjal, chopped red and green&nbsp;capsicum, chopped onion, now cook the vegetable stock.
Then take a plate add fish pieces, salt as per taste, corn flour, maida, red chili powder and mix it well.
Later take a pan add oil to deep fry and fry fish pieces. Transfer to a separate plate.
Now take a bowl add soya sauce, vinegar, red chili sauce, red chili paste, tomato ketchup, ajinomoto, cumin powder, coriander powder, sugar along with boiled vegetable stock and mix it well.
Take a pan, add oil when it is hot enough, add chopped garlic, chopped ginger, chopped onion, chopped red and green capsicum. Saute all these nicely.
Now add sauces and cook it well. Add fried fish pieces and corn flour water and saute all these nicely.Now serve with rice.",2.6667,3,0,2,0,NULL,0,0,0,https://6d1bdf0e0edb084eae10-5bfabe5484726969ac662c6d377e2f3c.ssl.cf2.rackcdn.com/uploads/159651/14d7f4f18a6a99674bd0dcacc2f4602f.jpg
Horlicks Oats Choco Laddu,https://www.vahrehvah.com/horlicks-oats-choco-laddu,"Laddu is one sweet which no one can stop with one and if it is served with added goodness of horlicks oats then no chance of saying no even after the second one
",Vahchef,10 mins,10 mins,10 mins,"8538, 8539, 8540, 8541, 8542, 8543, 8544, 8545, 8538, 8539, 8540, 8541, 8542, 8543, 8544, 8545","Roast horlicks oats using butter for about 3 - 4 minutes and transfer to a bowl.
Add chopped dates, cashew nuts, almonds, cocoa powder, icing sugar to the same bowl and mix well.
Now make &nbsp; the mixture little moist by adding &nbsp; boiled &nbsp;milk in small quantities and mix well.
Then proceed by shaping the mixture into laddus of your desired sizes.Delicious Horlicks Oats Choco Laddu is now ready to serve.",3.625,8,395,4,7,NULL,17,0,2,https://6d1bdf0e0edb084eae10-5bfabe5484726969ac662c6d377e2f3c.ssl.cf2.rackcdn.com/uploads/35867/9a44b52fdd17f59617f04c17aad8f99a.jpg
Veg Chops Curry,https://www.vahrehvah.com/veg-chops-curry,"Vegetable chops curry, a delectable combination of mixed vegetables is a must try dish. ",Vahchef,10 mins,15 mins,15 mins,"8546, 8360, 8547, 8548, 8549, 8550, 8551, 8552, 8553, 8554, 8555, 8334, 8443, 8342, 8556, 8363, 8557, 8558, 8546, 8360, 8547, 8548, 8549, 8550, 8551, 8552, 8553, 8554, 8555, 8334, 8443, 8342, 8556, 8363, 8557, 8558","Cut eggplant, ridge gourd, raw banana into thin slices, deep fry in hot oil, transfer to a plate and keep aside.
Heat oil in a pan, add cashew nuts, fennel seeds, chopped tomatoes, ginger, garlic cloves, &nbsp;saute for about a minute and blend to a fine paste.
Heat oil in another pan, add chopped onions, turmeric powder, curry leaves, salt, coriander powder, red chili powder, green chilies, &nbsp;prepared paste along with water and cook for about 4 to 5 minutes.
Then add fried raw banana, eggplant, ridge gourd along with chopped coriander leaves, crushed pepper to the same pan and cook well.&nbsp; Veg chops curry is now ready to serve
&nbsp;
&nbsp;
&nbsp;
&nbsp;
&nbsp;
&nbsp;",4,1,71.84,4,0.52,NULL,3.33,0,47,https://6d1bdf0e0edb084eae10-5bfabe5484726969ac662c6d377e2f3c.ssl.cf2.rackcdn.com/uploads/35873/af3c9870188805009841d0bf777b0074.jpg
Oats Chocolate Ladoo,https://www.vahrehvah.com/oats-chocolate-ladoo,Oats Chocolate Ladoo serves as a quick byte and is equally enjoyed by every age group.,Vahchef,15 mins,11 mins,11 mins,"8559, 8560, 8544, 8561, 8562, 8563, 8564, 8565, 8559, 8560, 8544, 8561, 8562, 8563, 8564, 8565","Dry roast oats till oats turns light brown in color.
In the same pan, add coco powder, icing sugar, finely chopped dates and saute it well.
Now, transfer this to a bowl, add chocolate, crushed cashew nuts, almonds and mix well.
Then by adding milk in small quantities, &nbsp;shape the mixture into ladoos.&nbsp;Delicious Oats Chocolate Ladoo is now ready to serve.
&nbsp;",4.5,2,395,4,7,NULL,17,0,2,https://6d1bdf0e0edb084eae10-5bfabe5484726969ac662c6d377e2f3c.ssl.cf2.rackcdn.com/uploads/159797/eef5bd5600b022eb9ab8d8b233c8b752.jpg
Horlicks Oats Banana Cake,https://www.vahrehvah.com/horlicks-oats-banana-cake,"Horlicks Oats Banana Cake is a delicious cake recipe to relish any time by all age groups.
",Vahchef,10 mins,30 mins,30 mins,"8566, 8567, 8568, 8569, 8570, 8571, 8572, 8573, 8574, 8575, 8566, 8567, 8568, 8569, 8570, 8571, 8572, 8573, 8574, 8575","In a blender, add jaggery and banana pieces then blend to a fine paste by adding oil.
Now, add curd to blended jaggery&nbsp;and banana mixture, keep it aside.
Take a bowl, add horlicks oats powder, milk powder, baking powder, mix well.
To it, add earlier prepared curd mixture in small quantities and whisk it to prepare a cake batter until no lumps are formed.
Add vanilla essence, raisins to the same bowl and whisk it again.
Later take a cake mould, grease it with butter then place butter paper in the bottom.
At last, pour the cake batter in it and bake at 180 degree centigrade for 30 minutes.
Demold the cake in a plate, remove the butter paper.
Delicious Horlicks Oats Banana Cake is now ready to serve.
&nbsp;",3.4,5,395,8,7,NULL,17,0,2,https://6d1bdf0e0edb084eae10-5bfabe5484726969ac662c6d377e2f3c.ssl.cf2.rackcdn.com/uploads/36030/9874220b2f82d08f8b8835a245c0806c.png
pesarattu pulusu,https://www.vahrehvah.com/pesarattu-pulusu,"Pesarattu is a pancake made with Moong dal (green gram), made into dumpling and cooked in tamarind gravy. In southern Indian states, Mung batter is used to make crepes named pesarattu",Vahchef,mins,30 mins,30 mins,"8576, 8577, 8578, 8579, 8489, 8580, 8581, 8582, 8583, 8584, 8585, 8586, 8587, 8588, 8589, 8576, 8577, 8578, 8579, 8489, 8580, 8581, 8582, 8583, 8584, 8585, 8586, 8587, 8588, 8589","preparation of Attu :
1. Soak Moong dal in water for 2-3 hours. Remove entire water from Moong dal. Add green chilli, ginger and salt to Moong dal and prepare fine paste. 2. Then take a pan and pour oil heat for 2 min. Then place moong dal paste to make thick size Attu. 3. Note: prepare attu immediately after preparation of moongdal paste.
Preparation of Pulusu:
1. heat oil in a pan add mustard seeds, cumin seeds, broken red chilli2. Add ginger, garlicpaste and add chopped onion and saute for 2 -3min add salt ,turmeric paste add green chillies ,curry leaves 3. Add required amount of water. boil the pulusu for min 25min in a low flame.4. Now cut the pesarattu pieces in desired size 5. Add Attu pieces to pulusu and boil for 5 min.(adding sugar is optional). 6. Remove it from stove .server it after one hour.",5,1,359.7,2,1.3,NULL,24,0,15,http://34c6b8841d4124020671-5bfabe5484726969ac662c6d377e2f3c.r16.cf2.rackcdn.com/uploads/CEKah5jl/search-result-img.jpg
knives,https://www.vahrehvah.com/knives, How to makeknives?How to cookknives?Learn the recipeknivesby vahchef.For all recipes visit vahrehvah.com,Vahchef,mins,mins,mins,"8600, 8600",Types of knives and usesnbsp;nbsp;nbsp;nbsp;nbsp;nbsp;,5,3,0,2 persons,0,NULL,0,0,0,http://34c6b8841d4124020671-5bfabe5484726969ac662c6d377e2f3c.r16.cf2.rackcdn.com/uploads/old/T5jfWWbICK.jpg
Basic Lamb Curry,https://www.vahrehvah.com/basic-lamb-curry,Lamb curry is popular dish from the Kashmiri cuisine known as Rogan josh.,Vahchef,3 mins,50 mins,50 mins,"8609, 8527, 8446, 8610, 8360, 8611, 8394, 8612, 8613, 8368, 8614, 8615, 8477, 8334, 8363, 8402, 8616, 8617, 8609, 8527, 8446, 8610, 8360, 8611, 8394, 8612, 8613, 8368, 8614, 8615, 8477, 8334, 8363, 8402, 8616, 8617","Heat oil in a pan, add cinnamon, green cardamom, cloves, cumin seeds, chopped onion&nbsp;and cook till they are slightly brown at the edges.
Add salt, turmeric powder, ginger garlic paste&nbsp;and saute it.
Add cleaned lamb pieces and cook for some time.
Then add chili powder, coriander powder, cumin powder and mix it.
Add water and cook for 20-30 minutes till lamb is 90%cooked &nbsp;(You can also cook lamb in a pressure cooker).
Add green chillies, coconut powder and pepper powder, coriander leaves and cook for another 10 minutes till the sauce is thickened.Serve hot with rice, roti or naan by sprinkling coriander leaves on top.",4.0952,42,289,4,21,NULL,25,97,72,http://34c6b8841d4124020671-5bfabe5484726969ac662c6d377e2f3c.r16.cf2.rackcdn.com/uploads/old/mShlZFpP7S.jpg
Lamb Fry,https://www.vahrehvah.com/lamb-fry,"Traditionally a lip smacking mutton recipe with a delectable flavors of fresh peppercorns, garlic and cumin seeds embedded in the masalas and mutton pieces.",Vahchef,mins,25 mins,25 mins,"8618, 8360, 8527, 8419, 8619, 8334, 8620, 8420, 8368, 8517, 8443, 8621, 8622, 8623, 8624, 8625, 8363, 8344, 8618, 8360, 8527, 8419, 8619, 8334, 8620, 8420, 8368, 8517, 8443, 8621, 8622, 8623, 8624, 8625, 8363, 8344","In a heavy bottom pan add some oil and when oil is hot add whole garam masala.
When it splutters add cumin seeds add chop onions for this preparation.
We dont have to brown the onions and add turmeric and ginger garlic paste and once the ginger garlic paste is cooked add nicely clean cubes of lamb or mutton and add little water to it and cook till meat is tender.
Make sure your lamb is fully cooked as we are not going to cook this lamb in a gravy or anything.
Take some garlic and little bit of cumin seeds and pepper corns grind it.
In a pan&nbsp;melt the butter and mix the pestled powders, after 5 seconds add green chili and curry leaves.
Add red chili powder, cumin powder, and coriander powder.
After adding these to the lamb we use the bigger pan for evaporating the moisture.
Add the chopped coriander leaves to garnish and add little lime juice to it.
",3.6452,31,289,2,21,NULL,25,97,72,http://34c6b8841d4124020671-5bfabe5484726969ac662c6d377e2f3c.r16.cf2.rackcdn.com/uploads/old/l2HD5Q33bU.jpg
Christmas Fruit Cake,https://www.vahrehvah.com/christmas-fruit-cake,"The Christmas fruitcake is a luscious cake made with chopped candied fruits, dried fruits, nuts and spices soaked either in rum or brandy.",Vahchef,15 mins,45 mins,45 mins,"8460, 8626, 8627, 8628, 8629, 8630, 8631, 8632, 8460, 8626, 8627, 8628, 8629, 8630, 8631, 8632","In a bowl add to butter mix well then add sugar mix well then add eggs mix well and keep aside.
In another bowl add flour, baking powder, spice powder mix well add this mixture to egg and sugar mixture and mix well then add all the dry fruits.
Pour this mixture in a cake bowl grease with butter and flour. baking 325 f for 45 minutes, or more time depending on the size, depth of the cake make sure to check if the cake is done by inserting a knife edge,
If it comes out clean it is done
",3.7742,62,0,4,0,NULL,0,0,0,https://6d1bdf0e0edb084eae10-5bfabe5484726969ac662c6d377e2f3c.ssl.cf2.rackcdn.com/uploads/15612/22cafd2a51a7b4d007a6d59392fc3cfc.png
Chicken curry authentic,https://www.vahrehvah.com/chicken-curry-authentic-1, Andhra Chicken curry is a popular delicacy all over South India and Southeast Asia. Indian chicken curry made with freshly grounded spices is a delight to have.,Vahchef,15 mins,40 mins,40 mins,"8420, 8334, 8633, 8401, 8634, 8635, 8620, 8636, 8637, 8638, 8639, 8640, 8641, 8394, 8368, 8534, 8642, 8363, 8437, 8420, 8334, 8633, 8401, 8634, 8635, 8620, 8636, 8637, 8638, 8639, 8640, 8641, 8394, 8368, 8534, 8642, 8363, 8437","Apply Turmeric paste on whole chicken and dry roast on stove top till chicken turns light brown in color and cut it into small pieces.
Dry Roast poppy seeds until they splutter, then add coconut powder and cook for another 1 minute and grind to a thick paste.
Heat oil in a pan, add whole garam masala (cloves, cardamom, cinnamon), cumin seeds and saute until they splutter.
Add chopped onions in the same pan and cook till they turn light brown.
Then add salt, ginger garlic&nbsp;paste&nbsp;and turmeric powder and cook for another 2 minutes.
In the same pan, add prepared paste, coriander powder,&nbsp;chilli&nbsp;powder, curry leaves and mix it well.
Now add chicken pieces along with water and cook it with a lid.
At last season with crushed peppercorns and chopped coriander leaves and switch off the flame let it&nbsp;rest for another&nbsp;5 minutes.Delicious Chicken curry is ready to serve with hot rice.",4.5385,13,234,6,14,NULL,27,88,82,http://34c6b8841d4124020671-5bfabe5484726969ac662c6d377e2f3c.r16.cf2.rackcdn.com/uploads/old/QSs4qFahLM.gif
Jangri,https://www.vahrehvah.com/jangri,"Jangri or Jhangri is also known as Imarti or Emarti in the northern India. Made from urad dal, deep fried and soaked in sugar syrup.",Vahchef,10 mins,25 mins,25 mins,"8643, 8338, 8644, 8522, 8645, 8442, 8646, 8643, 8338, 8644, 8522, 8645, 8442, 8646","Wash and soak the dal for atleast 1 hr.
Drain the water and grind to a very fine paste till the consistency of glue sticking add saffron color and rice flour if needed add to ziplock bag and pipe it into a slightly hot oil.
Put them into sugar syrup as shown for not more than few minutes&nbsp;serve hot.
",4.3594,64,350.4,6,1.6,NULL,25,0,38,http://34c6b8841d4124020671-5bfabe5484726969ac662c6d377e2f3c.r16.cf2.rackcdn.com/uploads/old/Th8hXLPDcD.gif
Eggless Sponge Cake,https://www.vahrehvah.com/eggless-sponge-cake,Eggless sponge cake is one such cake which is a boon to them and can equally enjoy eating delicious eggless cakes and relish it like others do.,Vahchef,20 mins,45 mins,45 mins,"8647, 8648, 8649, 8650, 8651, 8652, 8653, 8647, 8648, 8649, 8650, 8651, 8652, 8653","Preheat the oven for 15 mins 400 F.
For this cake we have to use cookie sheet so prepare them by spraying with non-stick spray and keep aside.
In a bowl or mixer if you have take 200ml of condensed milk or plain milk,add powdered sugar and mix it.
Whisk until well mixed. melt the butter and add it when warm to the sugar mixture and beat until mixed well.
Now take the dry ingredients the 2 1/2 cups all purpose flour add 1/2 cup of coco powder,add 1tablespoon &nbsp;of baking powder and mix everything well.now add the wet ingrdient in the flour mixture and just mix it.
now add the soda i.e. coke and mix everything well it should be not be too thick.
now divide the batter evenly on the two prepared sheets,just tap the sheets inorder the spread evenly and remove the air bubble.
Put these sheets in the preheated oven at 400F for 15mins and switch of immediately and let it be in the oven for next 15 mins.do not remove them let them cook in switched off oven.remove them and let them cool completely before doing any icing.
",4.4211,38,155.4,8,11,NULL,13,373,124,http://34c6b8841d4124020671-5bfabe5484726969ac662c6d377e2f3c.r16.cf2.rackcdn.com/uploads/old/nD8bjXTtDv.gif
